"","sample_key","metal","site","analyst","X","conc_blanked","conc_blanked_error","conc_unblanked","conc_unblanked_error"
"47",18,"Cr53","D","SJB",53,15070.8733503833,511.772136896323,16662.6157189133,502.009001497649
"48",18,"Pb208","D","SJB",54,123508.14588088,3588.27122085818,124842.15072245,2889.26575552372
"49",19,"As75","QC","SJB",57,10818.3210142387,298.421650809152,10959.3356568267,252.835431303757
"50",19,"Cd111","QC","SJB",60,2425.15270992244,84.5987028196303,2440.32797659366,83.1694169381171
"51",19,"Cd114","QC","SJB",59,2565.76066334786,65.8620295342772,2585.26573491764,63.1422371067986
"52",19,"Cr52","QC","SJB",55,44159.9780743001,1130.12719432356,45749.5233711002,1148.60966335682
"53",19,"Cr53","QC","SJB",56,45379.6571417506,1095.27619488788,46992.2066000653,1112.46000789259
"54",19,"Pb208","QC","SJB",58,1275117.68675346,29163.0459674611,1276469.12956682,29109.7173154212
"55",21,"As75","D","MD",68,1653.11448604603,187.976484492323,1805.26280567005,67.240467389194
"56",21,"Cd111","D","MD",69,145.028302405051,36.0154482040117,161.401717828428,31.2635579229464
"57",21,"Cd114","D","MD",70,140.166237260406,22.188493330889,161.211313211552,5.33793547668168
"58",21,"Cr52","D","MD",71,7897.04788998171,304.144900922882,9612.09422443223,266.817827819649
"59",21,"Cr53","D","MD",67,8017.07957940896,328.630964297186,9756.94634707524,280.532220552511
"60",21,"Pb208","D","MD",72,319691.981231198,7269.05531022252,321150.125926999,6899.88900496123
"61",22,"As75","E","SEP",76,5345.07458621747,200.670143347627,5476.92327703726,133.074670576095
"62",22,"Cd111","E","SEP",74,119.15082064133,17.2553159362737,133.339694978921,7.61609858020118
"63",22,"Cd114","E","SEP",78,161.758052004998,19.2492319641691,179.995293922742,4.85042158024928
"64",22,"Cr52","E","SEP",77,25739.5514444165,695.681714658176,27225.7762969247,706.884467205407
"65",22,"Cr53","E","SEP",75,26535.0220051391,680.946632198475,28042.7557486633,689.18919349512
"66",22,"Pb208","E","SEP",73,124024.090218959,3541.39945674247,125287.689249446,2914.609708185
"67",23,"As75","QC","SEP",84,15768.6485805225,440.992293848378,15969.6807022072,379.282596356305
"68",23,"Cd111","QC","SEP",80,2699.18480926426,164.085752558536,2720.81884669512,162.565760185324
"69",23,"Cd114","QC","SEP",81,2958.33316754109,89.665497367823,2986.13982541238,85.5425418522211
"70",23,"Cr52","QC","SEP",82,67268.2718670463,1841.2033564093,69534.3462098602,1871.90202287411
"71",23,"Cr53","QC","SEP",79,68566.3955366571,1839.01312725883,70865.264880841,1867.41396286746
"72",23,"Pb208","QC","SEP",83,1362524.02729731,39902.1365783379,1364450.65995842,39815.9883939993
"73",24,"As75","C","SGB",85,6074.42543446343,227.145155118365,6214.37362692174,161.977390794371
"74",24,"Cd111","C","SGB",87,206.709201247232,23.7209609226064,221.769702069936,17.1416348450677
"75",24,"Cd114","C","SGB",90,328.422368665943,21.8389893735892,347.779929411857,9.44115524439055
"76",24,"Cr52","C","SGB",88,56490.5553652435,1527.99463820173,58068.0794225694,1549.23957179773
"77",24,"Cr53","C","SGB",86,58294.5385612426,1430.27211484786,59894.8928067241,1452.01796637733
"78",24,"Pb208","C","SGB",89,321154.2819716,7995.95675993314,322495.504240924,7722.67149497719
"79",26,"As75","C","AWB",101,2411.57962538323,185.382284693422,2546.39018346438,101.884425550282
"80",26,"Cd111","C","AWB",99,146.816357167294,20.1892970791276,161.323972344213,12.5505462387167
"81",26,"Cd114","C","AWB",97,188.005949381274,19.8541748252755,206.652875228666,5.66803306111892
"82",26,"Cr52","C","AWB",100,29104.1405390676,869.927457816083,30623.7521526145,883.718337285041
"83",26,"Cr53","C","AWB",102,29973.7052226635,832.528612875642,31515.3089059349,844.376206107282
"84",26,"Pb208","C","AWB",98,249134.445741136,6820.52416050659,250426.430435346,6517.42455425662
"85",27,"As75","QC","AWB",108,14334.7081713797,372.058043162817,14466.7587325976,342.158386455312
"86",27,"Cd111","QC","AWB",106,2487.23523934191,91.525099777269,2501.44583792792,90.399503209124
"87",27,"Cd114","QC","AWB",103,2593.47382115635,67.7722927718422,2611.73898568193,65.5145194107988
"88",27,"Cr52","QC","AWB",104,59813.5173206677,1550.55725521675,61302.0176967393,1573.09200653578
"89",27,"Cr53","QC","AWB",105,61179.9678404814,1503.69258121385,62690.0100393211,1526.03434847606
"90",27,"Pb208","QC","AWB",107,1314692.75967982,31987.5834844622,1315958.29337677,31949.1296383256
"91",38,"As75","C","GB",110,2963.12989773247,211.882330692735,3121.60473900939,107.807028805237
"92",38,"Cd111","C","GB",109,204.963172617483,32.4187237614931,222.017415587718,26.5493767128805
"93",38,"Cd114","C","GB",114,201.831959846521,23.3915054164588,223.752116962028,6.70328358468276
"94",38,"Cr52","C","GB",111,42940.3496611977,1037.012011844,44726.7098149363,1049.79098145742
"95",38,"Cr53","C","GB",112,43834.2302664316,1042.29941930811,45646.4429187321,1051.77411380161
"96",38,"Pb208","C","GB",113,342509.827126839,7615.48436790076,344028.603343342,7234.12136468555
"97",39,"As75","QC","GB",115,11311.6007823083,434.512084125547,11450.3126269525,405.680998216808
"98",39,"Cd111","QC","GB",119,1914.49517702904,87.6399623831321,1929.42262849295,86.2657318732481
"99",39,"Cd114","QC","GB",118,2062.55018775003,66.854532498135,2081.73673751328,64.1970530912192
"100",39,"Cr52","QC","GB",117,46238.7264514866,1233.7877819754,47802.314148609,1251.92605892141
"101",39,"Cr53","QC","GB",120,47518.361490511,1168.80126851662,49104.5776864873,1186.30820585573
"102",39,"Pb208","QC","GB",116,975237.188087614,26217.9932913351,976566.561563525,26153.5609835893
"103",40,"As75","B","AB",121,2930.58026674428,195.547359661166,3086.46847873518,77.7575088949157
"104",40,"Cd111","B","AB",122,114.847854871795,20.9175823693836,131.623738173313,10.073644527857
"105",40,"Cd114","B","AB",126,240.471149002172,22.8758464821129,262.033524908419,6.16948795799939
"106",40,"Cr52","B","AB",124,14805.0374534874,426.502657764096,16562.2406038062,411.100493663002
"107",40,"Cr53","B","AB",123,15092.8438049094,427.709897284212,16875.4774888312,402.520447465896
"108",40,"Pb208","B","AB",125,159732.83886328,4226.6499859504,161226.825586329,3488.88285040404
"109",41,"As75","B","LF",127,4409.87666005512,226.461844801475,4557.78397695348,150.40715099118
"110",41,"Cd111","B","LF",129,168.238026826596,38.2249640179282,184.155047466184,34.057227791291
"111",41,"Cd114","B","LF",131,434.638731443173,25.8265784391421,455.097194116624,15.3389621750923
"112",41,"Cr52","B","LF",132,19558.6857743089,586.981059604015,21225.9266765535,588.806894540547
"113",41,"Cr53","B","LF",130,20160.8355978439,579.963660034106,21852.2050852104,576.309741104293
"114",41,"Pb208","B","LF",128,949115.234095203,34644.4871941424,950532.734269628,34587.2311729063
"115",44,"As75","QC","KAD",148,17311.6878085688,414.065076902067,17465.377315172,376.747286227077
"116",44,"Cd111","QC","KAD",147,2871.40774088253,101.308922649376,2887.94701087937,99.8672440900844
